influencer,available,target,sampled,planned_low,planned_medium,planned_high,taken_low,taken_medium,taken_high
ai.kalai,55,50,50,17,16,17,17,16,17
brexleyai,53,50,50,17,16,17,17,16,17
ericanic0le,205,50,50,17,16,17,17,16,17
hollybrandmusic,93,50,50,17,16,17,17,16,17
imma.tokyo,50,50,50,17,16,17,16,17,17
jessicawangofficial,93,50,50,17,16,17,17,16,17
lilmiquela,91,50,50,17,16,17,17,16,17
millas_sofia,53,50,50,17,16,17,17,16,17
misshannahashton,145,50,50,17,16,17,17,16,17
nobodywhoareu,197,50,50,17,16,17,17,16,17
