Kategorie,feature_group,metric_name,KI (M),REAL (M),KI Median,REAL Median,U,p,Effektgroesse_d,Richtung,signifikant_05
Schnittdynamik | Absolute Anzahl der Schnitte,cuts,cut_count,3.9,14.952,0.0,6.0,16918.5,2.1593513611440584e-20,0.466173896023708,REAL hoeher,True
Schnittdynamik | Analysierte Frames,cuts,frames_scanned,523.74,1266.336,357.5,719.5,17856.0,1.1154925674589973e-16,0.6760485807052633,REAL hoeher,True
Schnittdynamik | Schnittdichte pro Sekunde,cuts,cuts_per_second,0.1815233094125179,0.523708794964487,0.0,0.2292664160668184,18565.5,2.740637373336677e-16,0.44302739675665426,REAL hoeher,True
Emotionale Gesichtswirkung | Anteil emotional auswertbarer Frames,face_emotion,detected_emotion_frames,18.564,43.156,12.0,25.0,18107.5,3.7665685611490024e-16,0.6690197514549696,REAL hoeher,True
Körperhaltung und Pose | Anteil erkannter Pose-Frames,body_pose,detected_pose_frames,18.564,43.156,12.0,25.0,18107.5,3.7665685611490024e-16,0.6690197514549696,REAL hoeher,True
Ästhetische Gesamtqualität | Anzahl ästhetisch bewerteter Frames,aesthetic_quality,aesthetic_quality_scored_frames,18.564,43.156,12.0,25.0,18107.5,3.7665685611490024e-16,0.6690197514549696,REAL hoeher,True
Schnittdynamik | Schnittdichte pro Frame,cuts,cuts_per_frame,0.006399930303102993,0.01774204367430051,0.0,0.00788111583306085,18666.0,4.685761867641258e-16,0.431444436670516,REAL hoeher,True
Schnittdynamik | Geschätzte Videodauer,cuts,video_duration_seconds_est,18.125175990025888,42.77671545671038,11.563266134101323,24.683333333333334,18188.0,6.147202042624526e-16,0.6700053779358177,REAL hoeher,True
Bildschärfe | Streuung der Bildschärfe,visual_sharpness,sharpness_laplacian_std,127.819688867483,215.57565790913955,71.33783801240119,150.74195201434384,19517.0,3.783044294261553e-13,0.4075300368912952,REAL hoeher,True
Szenenklassifikation | Vielfalt erkannter Szenen,scene_classification,scene_unique_labels,3.952,7.192,2.5,5.0,20529.5,2.1038058106741738e-11,0.5271007436901468,REAL hoeher,True
Kamerastabilität | Durchschnittliche Bewegungsstärke,camera_stability,optical_flow_magnitude_mean,0.0057382721947014685,0.010541264569152112,0.0031104253682731004,0.008803503034056151,20497.0,2.8056353129454056e-11,0.5888832151993091,REAL hoeher,True
Kamerastabilität | Stabilitätsindex,camera_stability,stability_index,0.7288237919207875,0.580966273812835,0.7627520301504156,0.5318179501929037,42003.0,2.8056353129454056e-11,-0.6461856906279768,KI hoeher,True
Kamerastabilität | Streuung der Bewegungsstärke,camera_stability,optical_flow_magnitude_std,0.008441371109094615,0.013844809386390473,0.0035008651640639496,0.01215059257681265,21036.0,2.569407358238235e-10,0.510410993264341,REAL hoeher,True
Personenanzahl | Anteil erkannter Personenframes,structural_personen_anzahl,detected_person_frames,13.476,17.144,12.0,19.0,21143.5,3.1121714299100363e-10,0.5759114528194642,REAL hoeher,True
Hauttextur und Hautglättung | Feinstruktur der Hauttextur,skin_smoothness,skin_texture_laplacian_var,435.13719017533225,584.8826263747584,240.5036113819257,410.2704981152721,21919.0,4.440379367270313e-08,0.2192448810855596,REAL hoeher,True
Emotionale Gesichtswirkung | Vielfalt erkannter Emotionen,face_emotion,emotion_unique_labels,2.748,3.504,3.0,4.0,22678.5,6.51411948240016e-08,0.5073802098777505,REAL hoeher,True
Farbsättigung | Farbsättigung,saturation,saturation_index,83.8611560118865,66.768843309266,77.48885730189136,65.0295453860436,39674.0,1.8417456214059317e-07,-0.573342077112373,KI hoeher,True
Ästhetische Gesamtqualität | Ästhetische Qualitätsbewertung,aesthetic_quality,aesthetic_quality_score,4.683874624438006,4.363386456341063,4.696847096085548,4.315397647385483,39112.0,1.1346039673168447e-06,-0.41554628369940955,KI hoeher,True
Kameradistanz | Vielfalt erkannter Kameradistanzen,camera_distance,camera_distance_unique_labels,1.944,2.428,2.0,2.0,23806.5,1.245463933322143e-06,0.3716899149309439,REAL hoeher,True
Filter-/Artefaktmerkmale | Streuung der Filterstärke,visual_filter,filter_strength_std,0.01009772509243787,0.015115452480514577,0.00098032921063265,0.00187673707684775,23642.0,2.4833959855831356e-06,0.12220430107169852,REAL hoeher,True
Schnittdynamik | Bildrate des Videos,cuts,video_fps,28.695153223086724,29.467681091265717,30.0,30.0,25498.5,9.091953429412037e-06,0.2624989718354593,REAL hoeher,True
Hauttextur und Hautglättung | Anzahl auswertbarer Hautframes,skin_smoothness,detected_skin_face_frames,16.132,36.0,11.0,17.0,24103.0,9.459378054481077e-06,0.5660031414603319,REAL hoeher,True
Bildschärfe | Durchschnittliche Bildschärfe,visual_sharpness,sharpness_laplacian_mean,505.22271317867813,625.7069307439032,397.5730318955763,483.07914925924183,25585.0,0.0004537730423046515,0.2674924997454026,REAL hoeher,True
Gesichtsorientierung | Anteil erkannter Gesichtsframes,angle_face_orientation,detected_face_frames,15.904,33.8,11.0,15.0,25610.0,0.00047497174751932387,0.5372391822585998,REAL hoeher,True
Attraktivitätsbewertung | Anzahl bewertbarer Gesichtsframes,beauty_scoring,beauty_detected_face_frames,14.1,30.224,9.0,13.0,26053.0,0.0012834718702387602,0.5091154256608702,REAL hoeher,True
Hauttextur und Hautglättung | Hochfrequente Hauttextur,skin_smoothness,skin_texture_highpass_var,127.86114687534655,155.16528897579525,84.43201351165771,108.7075053647941,25581.0,0.0015195132185305278,0.16482962586572392,REAL hoeher,True
Attraktivitätsbewertung | Streuung der Attraktivitätsbewertung,beauty_scoring,beauty_score_std,4.822282311285715,5.169492300609782,3.296866010028174,4.572954834169504,24769.0,0.0016866069181647142,0.08667038968100724,REAL hoeher,True
Filter-/Artefaktmerkmale | Wahrscheinlichkeit für Filtereinsatz,visual_filter,filter_strength_prob,0.9923571669800395,0.9888902681501516,0.9970577384034793,0.9964141696691512,35631.0,0.006692175444300367,-0.14442542730776772,KI hoeher,True
Personenanzahl | Durchschnittliche Personenzahl,structural_personen_anzahl,personen_anzahl,2.332465180426878,1.9310526882511603,2.0,1.7916666666666667,35470.5,0.008978763966500894,-0.3125809350392556,KI hoeher,True
Gesichtsorientierung | Mittlere vertikale Gesichtsausrichtung,angle_face_orientation,face_pitch_mean,6.9484305515331055,6.225827714079266,7.548971481199765,6.766649240618687,32329.0,0.16270012227765707,-0.12851182233029418,KI hoeher,False
Helligkeit und Kontrast | Durchschnittliche Helligkeit,brightness_contrast,brightness_index,114.90746370852983,120.94931779705594,120.80339790761366,122.40922627137007,29341.0,0.23741474957285846,0.20615041115105215,REAL hoeher,False
Attraktivitätsbewertung | Mittlere Attraktivitätsbewertung,beauty_scoring,beauty_score_mean,32.27331007258337,31.18422194533822,31.286152118561315,30.058152406112008,31372.0,0.26647633315013475,-0.14126196360298432,KI hoeher,False
Hauttextur und Hautglättung | Hautglättung (Highpass),skin_smoothness,skin_smoothness_highpass_index,0.01923674629499029,0.01940720785279599,0.0144414762173669,0.01360569911122435,32105.0,0.3531170756438202,0.007781863103694174,REAL hoeher,False
Hauttextur und Hautglättung | Hautglättung (DoG),skin_smoothness,skin_smoothness_dog_index,0.0578308974128891,0.06125418295839056,0.0471710275624316,0.053197938637125894,29256.0,0.3890650275188352,0.08659799768066925,REAL hoeher,False
Helligkeit und Kontrast | Bildkontrast,brightness_contrast,contrast_index,59.55634968509212,60.02655708919226,59.28109088078501,60.07106416029517,29868.0,0.3924241429618691,0.04935044735056202,REAL hoeher,False
Personenanzahl | Maximale Personenzahl,structural_personen_anzahl,personen_anzahl_max,4.44,4.668,4.0,4.0,30241.0,0.5271223745436877,0.0589125652627736,REAL hoeher,False
Gesichtsorientierung | Mittlere horizontale Gesichtsausrichtung,angle_face_orientation,face_yaw_mean,-0.717536412989191,-0.5592161585442643,0.2684700844132957,0.5574279693929587,29846.0,0.8548801718601666,0.012399335274354696,REAL hoeher,False
Hauttextur und Hautglättung | Texturkontrast der Haut,skin_smoothness,skin_texture_dog_var,27.11628621597014,27.79048780185048,23.31863409280777,24.330260221107622,30358.0,0.8659984640000233,0.03456078828485137,REAL hoeher,False
