Hypothese,Kategorie,Unterkategorie,Merkmal,Rohvariable,Technische Variable,n VI,M VI,n RI,M RI,U,p Mann-Whitney-U,t Welch,p Welch,Cohen's d (RI - VI),Richtung,Signifikant p < .05
H1,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Videolänge,video_duration_seconds,nein,250,18.125,250,42.777,18188.0,6.14713350091366e-16,-7.491,7.180678789990606e-13,0.67,RI höher,*
H1,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Cut Count,cuts__cut_count,nein,250,3.9,250,14.952,16918.5,2.1593513611440584e-20,-5.212,3.4952799794912135e-07,0.466,RI höher,*
H1,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Cuts pro Sekunde,cuts__cuts_per_second,nein,250,0.182,250,0.524,18565.5,2.740637373336677e-16,-4.953,1.1196426475403774e-06,0.443,RI höher,*
H1,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Sekunden pro Cut,seconds_per_cut,nein,100,8.499,185,7.988,11310.5,0.001919977314381056,0.258,0.7962460107005984,-0.03,VI höher,*
H1,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Szenenvielfalt,scene_classification__scene_unique_labels,nein,250,3.952,250,7.192,20529.5,2.1038058106741738e-11,-5.893,8.190546966094601e-09,0.527,RI höher,*
H1,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Kameradistanzvariation,camera_distance__camera_distance_unique_labels,nein,250,1.944,250,2.428,23806.5,1.245463933322143e-06,-4.156,3.822737873427194e-05,0.372,RI höher,*
H1,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Stabilitätsindex,camera_stability__stability_index,nein,250,0.729,250,0.581,42003.0,2.8056353129454056e-11,7.225,1.9139478058013713e-12,-0.646,VI höher,*
H1,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Analysierte Frames,cuts__frames_scanned,ja,250,523.74,250,1266.336,17856.0,1.1154925674589973e-16,-7.558,4.744920930775969e-13,0.676,RI höher,*
H1,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Bildrate des Videos,cuts__video_fps,ja,250,28.695,250,29.468,25498.5,9.091953429412037e-06,-2.935,0.0035652300149460955,0.262,RI höher,*
H1,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Cuts pro Frame,cuts__cuts_per_frame,ja,250,0.006,250,0.018,18666.0,4.685761867641258e-16,-4.824,2.0647585167942573e-06,0.431,RI höher,*
H1,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Geschätzte Videolänge,cuts__video_duration_seconds_est,ja,250,18.125,250,42.777,18188.0,6.147202042624526e-16,-7.491,7.180898019486891e-13,0.67,RI höher,*
H1,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Konfidenz der Kameradistanzklassifikation,camera_distance__camera_distance_confidence,ja,250,0.77,250,0.758,33180.0,0.23229278441368773,1.285,0.19923593046437518,-0.115,VI höher,
H1,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Ausgewertete Frames der Kameradistanzanalyse,camera_distance__processed_frame_count,ja,250,17.724,250,31.768,18197.5,5.48393776077028e-16,-8.891,1.525539599361814e-17,0.795,RI höher,*
H1,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Konfidenz der Szenenklassifikation,scene_classification__scene_top1_confidence,ja,250,0.455,250,0.464,29985.0,0.43374481306207935,-0.53,0.5966456629958454,0.047,RI höher,
H1,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Durchschnittliche Bewegungsstärke,camera_stability__optical_flow_magnitude_mean,ja,250,0.006,250,0.011,20497.0,2.8056353129454056e-11,-6.584,1.2014787526555922e-10,0.589,RI höher,*
H1,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Streuung der Bewegungsstärke,camera_stability__optical_flow_magnitude_std,ja,250,0.008,250,0.014,21036.0,2.569407358238235e-10,-5.707,1.9826422313513096e-08,0.51,RI höher,*
H1,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Ausgewertete Frame-Paare,camera_stability__processed_frame_pairs,ja,250,41.944,250,59.092,18813.5,4.957275111714359e-15,-8.399,4.785742273410709e-16,0.751,RI höher,*
Zusatzmetrik,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Has video,cuts__has_video,ja,250,1.0,250,1.0,31250.0,1.0,,,,nicht bestimmbar,
Zusatzmetrik,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Has frames,camera_distance__has_frames,ja,250,1.0,250,1.0,31250.0,1.0,,,,nicht bestimmbar,
Zusatzmetrik,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Has frames,scene_classification__has_frames,ja,250,1.0,250,1.0,31250.0,1.0,,,,nicht bestimmbar,
Zusatzmetrik,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Has video,camera_stability__has_video,ja,250,1.0,250,1.0,31250.0,1.0,,,,nicht bestimmbar,
