Pose,Rohlabel,VI: n,VI: %,RI: n,RI: %,Differenz VI - RI in Prozentpunkten,Odds Ratio VI vs. RI,p Fisher exakt,p FDR-BH,Explorativ p < .05,FDR-korrigiert p < .05
Lachen,laughing,113,45.2,90,36.0,9.2,1.466,0.04500407809992429,0.13501223429977288,*,
Trinken,drinking,16,6.4,34,13.6,-7.2,0.434,0.010663611613791034,0.13501223429977288,*,
Sitzen,sitting,18,7.2,34,13.6,-6.4,0.493,0.027199166705144075,0.13501223429977288,*,
Tanzen,dancing,21,8.4,9,3.6,4.8,2.456,0.03672464335834156,0.13501223429977288,*,
Klatschen,clapping,11,4.4,2,0.8,3.6,5.707,0.02080733965221218,0.13501223429977288,*,
Musik hören,listening_to_music,11,4.4,5,2.0,2.4,2.255,0.20270075949563976,0.3378345991593996,,
Laptop verwenden,using_laptop,1,0.4,7,2.8,-2.4,0.139,0.06812731166692924,0.1459870964291341,,
Radfahren,cycling,0,0.0,5,2.0,-2.0,0.0,0.06125127518618726,0.1459870964291341,,
Schlafen,sleeping,2,0.8,7,2.8,-2.0,0.28,0.17573028264027152,0.3294942799505091,,
Laufen,running,8,3.2,12,4.8,-1.6,0.656,0.49457256833371455,0.6804518127163417,,
Telefonieren,calling,36,14.4,32,12.8,1.6,1.146,0.695740727779385,0.8696759097242314,,
Umarmen,hugging,2,0.8,0,0.0,0.8,inf,0.4989979959919839,0.6804518127163417,,
Essen,eating,7,2.8,9,3.6,-0.8,0.771,0.8004031149937433,0.9235420557620114,,
Kämpfen,fighting,1,0.4,1,0.4,0.0,1.0,1.0,1.0,,
Textnachrichten schreiben,texting,3,1.2,3,1.2,0.0,1.0,1.0,1.0,,
