Kategorie,Feature,Test,Teststatistik,p,Effektgröße,Richtung,Status
Strukturale Inszenierung und visuelle Dynamik,Videolänge,Mann-Whitney-U-Test,18188.0,< .001,Rank-Biserial r = -0.418,RI höher,signifikant
Strukturale Inszenierung und visuelle Dynamik,Videolänge,Welch-t-Test,-7.491,< .001,Cohen's d = 0.670,RI höher,signifikant
Strukturale Inszenierung und visuelle Dynamik,Cut Count,Mann-Whitney-U-Test,16918.5,< .001,Rank-Biserial r = -0.459,RI höher,signifikant
Strukturale Inszenierung und visuelle Dynamik,Cut Count,Welch-t-Test,-5.212,< .001,Cohen's d = 0.466,RI höher,signifikant
Strukturale Inszenierung und visuelle Dynamik,Cuts pro Sekunde,Mann-Whitney-U-Test,18565.5,< .001,Rank-Biserial r = -0.406,RI höher,signifikant
Strukturale Inszenierung und visuelle Dynamik,Cuts pro Sekunde,Welch-t-Test,-4.953,< .001,Cohen's d = 0.443,RI höher,signifikant
Strukturale Inszenierung und visuelle Dynamik,Sekunden pro Cut,Mann-Whitney-U-Test,11310.5,.002,Rank-Biserial r = 0.223,VI höher,signifikant
Strukturale Inszenierung und visuelle Dynamik,Sekunden pro Cut,Welch-t-Test,0.258,.796,Cohen's d = -0.030,VI höher,nicht signifikant
Strukturale Inszenierung und visuelle Dynamik,Szenenvielfalt,Mann-Whitney-U-Test,20529.5,< .001,Rank-Biserial r = -0.343,RI höher,signifikant
Strukturale Inszenierung und visuelle Dynamik,Szenenvielfalt,Welch-t-Test,-5.893,< .001,Cohen's d = 0.527,RI höher,signifikant
Strukturale Inszenierung und visuelle Dynamik,Kameradistanzvariation,Mann-Whitney-U-Test,23806.5,< .001,Rank-Biserial r = -0.238,RI höher,signifikant
Strukturale Inszenierung und visuelle Dynamik,Kameradistanzvariation,Welch-t-Test,-4.156,< .001,Cohen's d = 0.372,RI höher,signifikant
Bildtechnische Qualität,Helligkeit,Mann-Whitney-U-Test,29341.0,.237,Rank-Biserial r = -0.061,RI höher,nicht signifikant
Bildtechnische Qualität,Helligkeit,Welch-t-Test,-2.305,.022,Cohen's d = 0.206,RI höher,signifikant
Bildtechnische Qualität,Kontrast,Mann-Whitney-U-Test,29868.0,.392,Rank-Biserial r = -0.044,RI höher,nicht signifikant
Bildtechnische Qualität,Kontrast,Welch-t-Test,-0.552,.581,Cohen's d = 0.049,RI höher,nicht signifikant
Bildtechnische Qualität,Sättigung,Mann-Whitney-U-Test,39674.0,< .001,Rank-Biserial r = 0.270,VI höher,signifikant
Bildtechnische Qualität,Sättigung,Welch-t-Test,6.41,< .001,Cohen's d = -0.573,VI höher,signifikant
Bildtechnische Qualität,Schärfe,Mann-Whitney-U-Test,25585.0,< .001,Rank-Biserial r = -0.181,RI höher,signifikant
Bildtechnische Qualität,Schärfe,Welch-t-Test,-2.991,.003,Cohen's d = 0.267,RI höher,signifikant
Ästhetik und visuelle Optimierung,Aesthetic Score,Mann-Whitney-U-Test,39112.0,< .001,Rank-Biserial r = 0.252,VI höher,signifikant
Ästhetik und visuelle Optimierung,Aesthetic Score,Welch-t-Test,4.646,< .001,Cohen's d = -0.416,VI höher,signifikant
Ästhetik und visuelle Optimierung,Beauty Score,Mann-Whitney-U-Test,31372.0,.266,Rank-Biserial r = 0.058,VI höher,nicht signifikant
Ästhetik und visuelle Optimierung,Beauty Score,Welch-t-Test,1.56,.120,Cohen's d = -0.141,VI höher,nicht signifikant
Ästhetik und visuelle Optimierung,Beauty Score SD,Mann-Whitney-U-Test,24769.0,.002,Rank-Biserial r = -0.165,RI höher,signifikant
Ästhetik und visuelle Optimierung,Beauty Score SD,Welch-t-Test,-0.957,.339,Cohen's d = 0.087,RI höher,nicht signifikant
Ästhetik und visuelle Optimierung,Hautglättung,Mann-Whitney-U-Test,32105.0,.353,Rank-Biserial r = 0.048,RI höher,nicht signifikant
Ästhetik und visuelle Optimierung,Hautglättung,Welch-t-Test,-0.086,.931,Cohen's d = 0.008,RI höher,nicht signifikant
Emotion und Präsenz,Face Pitch,Mann-Whitney-U-Test,32329.0,.163,Rank-Biserial r = 0.073,VI höher,nicht signifikant
Emotion und Präsenz,Face Pitch,Welch-t-Test,1.422,.156,Cohen's d = -0.129,VI höher,nicht signifikant
Emotion und Präsenz,Face Yaw,Mann-Whitney-U-Test,29846.0,.855,Rank-Biserial r = -0.010,RI höher,nicht signifikant
Emotion und Präsenz,Face Yaw,Welch-t-Test,-0.137,.891,Cohen's d = 0.012,RI höher,nicht signifikant
Emotion und Präsenz,Pose Confidence,Mann-Whitney-U-Test,36535.0,.001,Rank-Biserial r = 0.169,VI höher,signifikant
Emotion und Präsenz,Pose Confidence,Welch-t-Test,3.842,< .001,Cohen's d = -0.344,VI höher,signifikant
Emotion und Präsenz,Personenanzahl,Mann-Whitney-U-Test,35470.5,.009,Rank-Biserial r = 0.135,VI höher,signifikant
Emotion und Präsenz,Personenanzahl,Welch-t-Test,3.495,.001,Cohen's d = -0.313,VI höher,signifikant
Textuelle Merkmale,Caption-Länge Zeichen,Mann-Whitney-U-Test,28222.5,.097,Rank-Biserial r = -0.086,VI höher,nicht signifikant
Textuelle Merkmale,Caption-Länge Zeichen,Welch-t-Test,0.107,.915,Cohen's d = -0.010,VI höher,nicht signifikant
Textuelle Merkmale,Caption-Länge Wörter,Mann-Whitney-U-Test,29366.5,.346,Rank-Biserial r = -0.049,VI höher,nicht signifikant
Textuelle Merkmale,Caption-Länge Wörter,Welch-t-Test,0.874,.383,Cohen's d = -0.078,VI höher,nicht signifikant
Textuelle Merkmale,Caption-Sentiment-Index,Mann-Whitney-U-Test,31654.0,.627,Rank-Biserial r = 0.025,VI höher,nicht signifikant
Textuelle Merkmale,Caption-Sentiment-Index,Welch-t-Test,1.121,.263,Cohen's d = -0.101,VI höher,nicht signifikant
Textuelle Merkmale,Kommentar-Sentiment-Index,Mann-Whitney-U-Test,11586.0,< .001,Rank-Biserial r = -0.306,RI höher,signifikant
Textuelle Merkmale,Kommentar-Sentiment-Index,Welch-t-Test,-4.728,< .001,Cohen's d = 0.494,RI höher,signifikant
Textuelle Merkmale,Kommentar-Emotionsvielfalt,Mann-Whitney-U-Test,15651.5,.297,Rank-Biserial r = -0.063,RI höher,nicht signifikant
Textuelle Merkmale,Kommentar-Emotionsvielfalt,Welch-t-Test,-1.103,.271,Cohen's d = 0.115,RI höher,nicht signifikant
Textuelle Merkmale,Topic-Vielfalt,Mann-Whitney-U-Test,18091.0,.167,Rank-Biserial r = 0.083,VI höher,nicht signifikant
Textuelle Merkmale,Topic-Vielfalt,Welch-t-Test,2.043,.042,Cohen's d = -0.216,VI höher,signifikant
